,team,games_played,goals_scored,weighted_goals,elo_sum,mean_goals,country,elo,start_year
0,Afghanistan,19,15,17768.239999999998,25532.53,0.6959059677987257,Afghanistan,585.94,2022.0
1,Albania,40,36,49187.56999999999,64141.130000000005,0.7668647247094024,Albania,1440.05,2022.0
2,Algeria,42,70,100602.95,64217.049999999996,1.5666080892846994,Algeria,1706.56,2022.0
3,Andorra,40,16,19696.9,63811.3,0.30867416899514666,Andorra,1247.58,2022.0
4,Angola,20,26,37079.729999999996,29236.38,1.2682736371602776,Angola,1319.39,2022.0
5,Anguilla,8,0,0.0,10428.94,0.0,Anguilla,671.31,2022.0
6,Antigua and Barbuda,23,48,26679.54,24916.13,1.0707738320517672,Antigua and Barbuda,909.95,2022.0
7,Argentina,84,127,222056.12,149750.66999999998,1.482838908166488,Argentina,2050.45,2022.0
8,Armenia,39,36,57542.780000000006,61400.08,0.9371776062832492,Armenia,1649.21,2022.0
9,Aruba,10,6,6560.5,12267.41,0.5347909623954853,Aruba,1076.15,2022.0
10,Australia,78,145,190367.08,116977.16,1.6273867479771262,Australia,1642.73,2022.0
11,Austria,41,66,100790.72,66178.17,1.5230206577183987,Austria,1735.75,2022.0
12,Azerbaijan,39,28,40147.15,63773.490000000005,0.6295272534089007,Azerbaijan,1433.14,2022.0
13,Bahamas,9,13,2114.9700000000003,7046.780000000001,0.3001328266243589,Bahamas,998.96,2022.0
14,Bahrain,42,57,73760.95,62081.06,1.188139345558855,Bahrain,1460.33,2022.0
15,Bangladesh,24,12,14228.42,30473.54,0.4669106378845385,Bangladesh,1005.9,2022.0
16,Barbados,17,13,8894.130000000001,15484.490000000002,0.5743895988824946,Barbados,1014.69,2022.0
17,Belarus,34,39,57946.100000000006,57939.03,1.000122024825062,Belarus,1322.77,2022.0
18,Belgium,50,121,167922.59000000003,75941.6,2.2112069010924187,Belgium,1881.35,2022.0
19,Belize,18,20,24356.73,24003.739999999998,1.014705625040098,Belize,1172.22,2022.0
20,Benin,26,35,48364.659999999996,34761.09,1.3913447478200482,Benin,1340.46,2022.0
21,Bermuda,15,26,23715.07,13199.53,1.796660184112616,Bermuda,1294.78,2022.0
22,Bhutan,12,9,8139.3,13801.28,0.5897496464096084,,,
23,Bolivia,67,81,146871.8,123793.29000000001,1.1864277942689785,Bolivia,1609.59,2022.0
24,Bosnia & Herzegovina,43,91,133736.8,69384.57,1.9274717707409583,,,
25,Botswana,16,12,12967.81,19890.12,0.6519724365664964,Botswana,1474.61,2022.0
26,Brazil,68,142,253183.84000000003,122528.59,2.0663246022826187,Brazil,2095.44,2022.0
27,British Virgin Islands,9,6,5151.22,6847.79,0.7522456150086378,British Virgin Islands,732.46,2022.0
28,Brunei,4,3,2762.81,3724.04,0.7418851569800539,Brunei,614.06,2022.0
29,Bulgaria,38,52,80815.06,63456.740000000005,1.2735457257968184,Bulgaria,1265.11,2022.0
30,Burkina Faso,31,53,73896.98999999999,44989.79,1.6425280046872854,Burkina Faso,1573.48,2022.0
31,Burundi,14,16,14097.58,15287.3,0.9221759238060351,Burundi,1344.78,2022.0
32,Cambodia,24,18,18831.3,31720.04,0.5936720130239432,Cambodia,1044.07,2022.0
33,Cameroon,39,55,77473.77,56854.399999999994,1.3626697318061578,Cameroon,1607.34,2022.0
34,Canada,48,98,131933.18,69800.76,1.8901395916033006,Canada,1776.34,2022.0
35,Cape Verde,21,21,24867.070000000003,27901.800000000003,0.8912353324875097,Cape Verde,1481.38,2022.0
36,Cayman Islands,11,5,6323.639999999999,14064.869999999999,0.44960529318792136,Cayman Islands,1145.74,2022.0
37,Central Africa,12,10,13468.93,16509.76,0.8158162202236738,,,
38,Chad,14,13,18084.5,19692.94,0.9183240288143873,Chad,1207.76,2022.0
39,Chile,76,113,202731.12,139607.33000000002,1.452152404891634,Chile,1700.14,2022.0
40,China,53,111,116151.56999999999,73564.71,1.578903389954232,China,1481.17,2022.0
41,Chinese Taipei,20,15,19101.21,26469.3,0.7216363863041334,,,
42,Colombia,78,100,176168.74,140932.25,1.2500243201964063,Colombia,1876.34,2022.0
43,Comoros,10,5,6312.490000000001,13332.32,0.47347273392777856,Comoros,1280.2,2022.0
44,Congo,26,32,35908.64,34091.0,1.0533172978205392,Congo,1291.12,2022.0
45,Costa Rica,74,114,157859.49,115020.84,1.3724425069404813,Costa Rica,1636.72,2022.0
46,Croatia,53,97,153413.56,87792.29000000001,1.747460511623515,Croatia,1843.83,2022.0
47,Cuba,20,22,22121.29,21476.51,1.0300225688438207,Cuba,1463.39,2022.0
48,Curacao,18,36,28853.82,20626.059999999998,1.3989011958658126,,,
49,Cyprus,39,29,39925.62,59851.79,0.6670747859003048,Cyprus,1347.68,2022.0
50,Czech Republic,37,57,71373.38,57152.66,1.2488199149435915,Czech Republic,1695.43,2022.0
51,D.R. Congo,30,58,77643.14,42466.009999999995,1.8283596692978692,,,
52,Denmark,49,91,140517.64999999997,79838.29999999999,1.7600280817602578,Denmark,1827.02,2022.0
53,Djibouti,15,7,7368.12,18042.94,0.40836582064785454,Djibouti,1140.86,2022.0
54,Dominica,13,6,6136.049999999999,16522.31,0.37137966785516063,Dominica,943.9,2022.0
55,Dominican Republic,13,23,23559.079999999998,14976.060000000001,1.5731160265116457,Dominican Republic,1095.53,2022.0
56,East Timor,16,13,13200.11,19297.079999999998,0.684047016439793,,,
57,Ecuador,73,95,169079.49999999997,133760.24,1.2640490178546329,Ecuador,1792.99,2022.0
58,Egypt,38,62,82837.6,52695.130000000005,1.572016237553641,Egypt,1668.18,2022.0
59,El Salvador,60,101,110837.1,82728.70999999999,1.3397658442879143,El Salvador,1516.41,2022.0
60,England,54,136,187083.37,83964.1,2.228135238750847,England,1841.03,2022.0
61,Equatorial Guinea,19,18,25166.79,28030.14,0.8978474599127939,Equatorial Guinea,1462.07,2022.0
62,Eritrea,5,3,3764.3900000000003,6256.38,0.6016881966888201,,,
63,Estonia,36,35,50493.31,52932.18,0.9539246258136355,Estonia,1413.1,2022.0
64,Eswatini,11,11,11264.76,12549.25,0.8976440823156763,Eswatini,1311.77,2022.0
65,Ethiopia,24,34,35622.94,27812.22,1.2808377037144105,Ethiopia,1344.43,2022.0
66,Faroe Islands,40,20,30338.559999999998,66314.59,0.45749449706316514,Faroe Islands,1288.34,2022.0
67,Fiji,16,16,20923.22,21457.29,0.975110090789657,Fiji,1252.75,2022.0
68,Finland,34,35,48848.899999999994,54343.82,0.8988860186862093,Finland,1568.39,2022.0
69,France,55,99,158704.5,88747.22,1.788275734158208,France,1956.3,2022.0
70,Gabon,29,30,43382.740000000005,43394.25,0.9997347574851508,Gabon,1462.1,2022.0
71,Gambia,16,13,18186.23,23826.88,0.7632652701486724,Gambia,1434.27,2022.0
72,Georgia,37,28,44592.28,61827.47,0.7212373399720221,Georgia,1574.13,2022.0
73,Germany,56,180,272057.55,90090.53,3.019824059199119,Germany,1890.73,2022.0
74,Ghana,43,68,98038.72,64309.43,1.5244843563377874,Ghana,1544.36,2022.0
75,Gibraltar,18,7,9506.55,24640.48,0.3858102601897365,Gibraltar,1182.63,2022.0
76,Greece,52,66,92496.85999999999,75830.82,1.219779240155915,Greece,1538.25,2022.0
77,Grenada,15,23,17143.28,19169.45,0.8943021317773853,Grenada,1272.67,2022.0
78,Guam,18,10,5993.73,22038.04,0.271972008400021,Guam,781.41,2022.0
79,Guatemala,34,78,86251.29,38119.32,2.2626660181766094,Guatemala,1273.6,2022.0
80,Guinea,32,41,54301.95,41235.2,1.3168833908893374,Guinea,1388.47,2022.0
81,Guinea Bissau,13,11,10567.64,15097.84,0.6999438330251214,,,
82,Guyana,18,21,23715.58,20978.35,1.130478803147054,Guyana,1192.23,2022.0
83,Haiti,26,47,23574.06,31471.019999999997,0.7490720033859724,Haiti,1438.16,2022.0
84,Honduras,71,85,120053.73999999999,111683.01,1.0749507915304217,Honduras,1458.15,2022.0
85,Hong Kong,22,28,15784.789999999997,26734.22,0.5904339083017943,Hong Kong,1289.04,2022.0
86,Hungary,40,65,89730.8,61691.240000000005,1.4545144497014486,Hungary,1627.73,2022.0
87,Iceland,42,49,79802.12,70845.06,1.12643168062812,Iceland,1555.33,2022.0
88,India,22,18,20477.769999999997,27729.84,0.7384741491476329,India,1299.23,2022.0
89,Indonesia,18,14,19459.36,26309.94,0.7396200827519942,Indonesia,1236.02,2022.0
90,Iran,71,133,171495.27000000002,103678.69,1.6541033649248462,Iran,1774.9,2022.0
91,Iraq,59,78,101288.0,86822.32,1.1666124563361127,Iraq,1576.27,2022.0
92,Ireland,42,50,77239.95,69990.11,1.1035837777651727,Ireland,1657.04,2022.0
93,Israel,40,72,105060.32,62593.54,1.6784530799823754,Israel,1644.01,2022.0
94,Italy,47,77,114342.73,74373.44,1.5374134906224586,Italy,1889.32,2022.0
95,Ivory Coast,38,72,105078.54999999999,57345.990000000005,1.8323609026542218,Ivory Coast,1690.22,2022.0
96,Jamaica,44,52,72736.71,69359.1,1.0486974311950414,Jamaica,1553.81,2022.0
97,Japan,74,166,221371.03,109224.5,2.026752514316843,Japan,1767.5,2022.0
98,Jordan,44,74,81008.95,59677.1,1.3574545344864277,Jordan,1582.14,2022.0
99,Kazakhstan,36,28,39497.93,58718.59,0.6726648238658319,Kazakhstan,1439.77,2022.0
100,Kenya,29,35,44707.13,39967.270000000004,1.1185935391634203,,,
101,Kosovo,18,9,14651.720000000001,30519.83,0.4800721367058729,Kosovo,1482.26,2022.0
102,Kuwait,27,52,50723.689999999995,36082.34,1.405776066629825,Kuwait,1337.76,2022.0
103,Kyrgyzstan,20,31,35613.97,26808.82,1.3284422813089125,Kyrgyzstan,1272.2,2022.0
104,Laos,12,14,13780.4,15450.85,0.8918862069077106,Laos,818.37,2022.0
105,Latvia,38,45,61761.7,54134.76,1.1408880357094036,Latvia,1181.26,2022.0
106,Lebanon,49,52,65135.34000000001,69350.97,0.9392131068967026,Lebanon,1345.63,2022.0
107,Lesotho,18,11,14953.26,25489.82,0.5866365474530617,Lesotho,1237.87,2022.0
108,Liberia,22,19,16305.789999999999,27509.18,0.592739950809148,Liberia,1293.78,2022.0
109,Libya,24,24,31651.089999999997,28867.2,1.0964378256290874,Libya,1337.27,2022.0
110,Liechtenstein,39,9,11049.71,61634.100000000006,0.17927916526727897,Liechtenstein,1115.72,2022.0
111,Lithuania,38,27,39819.17,58243.32,0.6836693031921943,Lithuania,1200.63,2022.0
112,Luxembourg,39,30,48458.09,65168.19,0.7435850220790234,Luxembourg,1373.49,2022.0
113,Macau,7,5,6244.02,8446.74,0.7392224692603301,,,
114,Madagascar,19,22,22450.75,22645.15,0.9914153803353035,Madagascar,1365.65,2022.0
115,Malawi,26,25,30853.81,35508.54,0.8689123799514146,Malawi,1304.08,2022.0
116,Malaysia,23,34,24443.09,25432.48,0.9610973841324165,Malaysia,1211.06,2022.0
117,Maldives,20,17,14298.48,25753.92,0.5551962575017706,Maldives,990.56,2022.0
118,Mali,33,40,54622.31,47406.34,1.1522152944099882,Mali,1594.4,2022.0
119,Malta,39,16,25208.729999999996,65757.06,0.38336157364699697,Malta,1345.62,2022.0
120,Mauritania,13,11,15297.550000000001,18581.260000000002,0.8232783998501716,Mauritania,1349.6,2022.0
121,Mauritius,10,5,6864.54,14375.1,0.4775298954442056,Mauritius,1000.81,2022.0
122,Mexico,77,123,178754.21999999997,119239.92000000001,1.499113887362554,Mexico,1758.78,2022.0
123,Moldova,40,28,39923.28,64631.75,0.617703837510202,Moldova,1241.8,2022.0
124,Mongolia,16,10,9473.44,17073.3,0.5548687131368863,Mongolia,900.79,2022.0
125,Montenegro,38,58,82450.84000000001,59797.41,1.3788363074588015,Montenegro,1365.21,2022.0
126,Montserrat,7,13,7140.75,4958.13,1.4402103212299797,Montserrat,1239.48,2022.0
127,Morocco,36,67,80787.13,48565.92,1.6634530963276308,Morocco,1720.96,2022.0
128,Mozambique,28,22,28125.63,40010.84,0.7029502504821195,Mozambique,1426.53,2022.0
129,Myanmar,19,12,12240.27,24907.22,0.4914346121325463,Myanmar,1104.06,2022.0
130,Namibia,25,28,28901.62,30705.66,0.9412473140131168,Namibia,1168.95,2022.0
131,Nepal,16,12,1503.65,17610.46,0.08538391387845634,Nepal,972.63,2022.0
132,Netherlands,54,129,203959.18,87327.70999999999,2.3355608431733756,Netherlands,1718.33,2022.0
133,New Caledonia,20,46,49085.7,25551.21,1.9210714482797486,New Caledonia,1398.33,2022.0
134,New Zealand,36,74,96566.85,49885.93,1.9357532274130202,New Zealand,1508.12,2022.0
135,Nicaragua,15,30,25029.870000000003,18827.34,1.329442714690445,Nicaragua,1274.1,2022.0
136,Niger,18,22,26938.68,25231.77,1.0676492374494535,Niger,1256.34,2022.0
137,Nigeria,44,62,89588.66,64862.049999999996,1.3812184474588762,Nigeria,1635.56,2022.0
138,North Korea,37,38,49840.28,55430.350000000006,0.8991514576400833,,,
139,North Macedonia,39,52,81637.7,66624.67,1.2253374012959464,North Macedonia,1620.94,2022.0
140,Northern Ireland,40,46,60586.90999999999,62011.600000000006,0.9770254275006609,Northern Ireland,1558.85,2022.0
141,Norway,36,48,62270.91,56004.96,1.1118820547322952,Norway,1423.52,2022.0
142,Oman,48,56,70301.14,67432.18,1.0425458586686653,Oman,1563.88,2022.0
143,Pakistan,8,2,2252.45,9288.24,0.2425055769446095,Pakistan,1532.61,2022.0
144,Palestine,22,37,36418.89,27112.6,1.3432459446899228,Palestine,1156.56,2022.0
145,Panama,60,89,111705.35,87188.92,1.2811874490474249,Panama,1627.03,2022.0
146,Papua New Guinea,14,24,26696.810000000005,17580.48,1.5185484127850892,Papua New Guinea,1295.49,2022.0
147,Paraguay,74,76,136635.53999999998,135203.85,1.010589121537589,Paraguay,1684.35,2022.0
148,Peru,74,73,128997.43000000001,134867.75,0.9564735083072121,Peru,1844.98,2022.0
149,Philippines,20,26,27402.46,24960.52,1.0978320964467085,Philippines,1282.73,2022.0
150,Poland,44,95,126212.02999999998,67278.39,1.875966859492327,Poland,1624.22,2022.0
151,Portugal,57,119,172804.15,88318.29000000001,1.9566066100238124,Portugal,1950.67,2022.0
152,Puerto Rico,12,14,15592.079999999998,14523.3,1.0735907128545163,Puerto Rico,1538.47,2022.0
153,Qatar,58,90,100967.95999999999,82310.62,1.2266698999472971,Qatar,1513.11,2022.0
154,Romania,41,56,82368.67,64709.17,1.272905679365073,Romania,1627.57,2022.0
155,Russia,39,77,116347.03,62787.36,1.8530326804630741,Russia,1631.54,2022.0
156,Rwanda,28,30,36657.78,38300.43,0.9571114475738262,Rwanda,1273.04,2022.0
157,Saint Kitts and Nevis,15,24,15033.27,16488.89,0.9117211649783582,Saint Kitts and Nevis,1203.85,2022.0
158,Saint Lucia,13,14,13188.11,13942.869999999999,0.9458676728679247,Saint Lucia,1109.73,2022.0
159,Saint Vincent and the Grenadines,21,20,22463.11,24348.67,0.9225600412671412,Saint Vincent and the Grenadines,978.45,2022.0
160,Samoa,5,1,1218.62,6300.5199999999995,0.19341578155453834,,,
161,San Marino,40,5,8122.72,65311.020000000004,0.12436982304058335,San Marino,855.13,2022.0
162,Sao Tome and Principe,6,3,2680.07,5360.14,0.5,,,
163,Saudi Arabia,63,118,144047.68999999997,91221.23999999999,1.5791025204217788,Saudi Arabia,1582.73,2022.0
164,Scotland,39,47,71075.73999999999,63678.94,1.116157712424233,Scotland,1702.74,2022.0
165,Senegal,32,50,71344.71,46529.33,1.5333276881485292,Senegal,1707.69,2022.0
166,Serbia,44,84,135398.14,73604.25,1.8395424177272375,Serbia,1811.92,2022.0
167,Seychelles,12,4,5886.64,16770.48,0.3510120163525433,Seychelles,1132.87,2022.0
168,Sierra Leone,18,19,25500.199999999997,23026.72,1.1074178172140885,Sierra Leone,1339.26,2022.0
169,Singapore,34,41,51771.73999999999,47375.18,1.0928030247061855,Singapore,1179.37,2022.0
170,Slovakia,43,72,97778.36,62262.36,1.570424892342661,Slovakia,1412.38,2022.0
171,Slovenia,44,59,85532.4,69599.04999999999,1.2289305672994102,Slovenia,1613.97,2022.0
172,Solomon Islands,20,23,30186.060000000005,26682.449999999997,1.1313076572803475,Solomon Islands,1312.97,2022.0
173,Somalia,7,2,2635.78,8959.119999999999,0.29420076971845455,Somalia,976.3,2022.0
174,South Africa,28,34,42054.770000000004,38925.78,1.0803834887830124,South Africa,1376.81,2022.0
175,South Korea,72,131,183321.28,107721.49,1.7018078751045866,South Korea,1785.24,2022.0
176,South Sudan,3,1,1462.07,4282.75,0.3413857918393555,South Sudan,1155.88,2022.0
177,Spain,51,113,168930.08,81745.94,2.0665256280617728,Spain,1801.43,2022.0
178,Sri Lanka,14,4,4478.27,15887.14,0.281880187371673,Sri Lanka,1310.0,2022.0
179,Sudan,26,21,25933.559999999998,34858.42,0.7439683152592688,Sudan,1302.74,2022.0
180,Suriname,19,28,31066.56,25235.67,1.2310574674656944,Suriname,1327.27,2022.0
181,Sweden,50,79,126454.33,84211.95999999999,1.5016196036762475,Sweden,1661.08,2022.0
182,Switzerland,51,89,132287.77,79569.36,1.66254661342004,Switzerland,1864.91,2022.0
183,Syria,47,84,101133.20000000001,67437.85,1.4996504188671496,Syria,1480.28,2022.0
184,Tahiti,15,28,27894.94,18632.93,1.4970774859348475,Tahiti,1227.12,2022.0
185,Tajikistan,26,31,32866.53,34327.86,0.9574302039218291,Tajikistan,1264.08,2022.0
186,Tanzania,26,31,41825.149999999994,32724.7,1.2780911666111527,Tanzania,1316.06,2022.0
187,Thailand,42,56,68714.73999999999,60242.62,1.1406333257086094,Thailand,1387.84,2022.0
188,Togo,26,23,26147.48,32117.480000000003,0.814119912272071,Togo,1149.22,2022.0
189,Trinidad & Tobago,44,59,80799.67,65826.23000000001,1.2274692018667936,,,
190,Tunisia,36,58,75043.28,49171.490000000005,1.526154281678265,Tunisia,1637.15,2022.0
191,Turkey,39,68,94358.94,59364.73,1.5894781295223612,Turkey,1719.49,2022.0
192,Turkmenistan,27,34,38509.73,35351.880000000005,1.0893262253662321,Turkmenistan,1454.52,2022.0
193,Turks and Caicos Islands,8,6,6921.66,9417.2,0.7350019113961687,,,
194,Uganda,25,22,27427.32,31879.72,0.8603375437425422,Uganda,1400.53,2022.0
195,Ukraine,44,77,98836.32000000002,66216.56,1.4926223893237587,Ukraine,1631.37,2022.0
196,United Arab Emirates,62,101,126698.54000000001,90332.66,1.4025773181039947,United Arab Emirates,1525.75,2022.0
197,USA,71,136,179904.65,99895.29000000001,1.8009322561654306,USA,1794.06,2022.0
198,USA Virgin Islands,14,7,4914.82,13685.83,0.3591174229111424,,,
199,Uruguay,88,136,239189.02999999997,158530.62,1.5087875768100822,Uruguay,1913.3,2022.0
200,Uzbekistan,60,103,137418.05,87922.46,1.5629459184831722,Uzbekistan,1476.09,2022.0
201,Vanuatu,8,8,9998.5,10299.86,0.9707413498824256,Vanuatu,1235.12,2022.0
202,Venezuela,70,67,118504.20000000001,128235.54000000001,0.9241135491767727,Venezuela,1636.49,2022.0
203,Vietnam,29,40,44419.69,41027.369999999995,1.0826843153728842,Vietnam,1399.04,2022.0
204,Wales,38,45,68686.34,62647.39,1.0963958753908183,Wales,1711.97,2022.0
205,Yemen,23,15,17849.29,30407.010000000002,0.5870123369578265,Yemen,1436.55,2022.0
206,Zambia,27,30,42787.28999999999,39621.759999999995,1.079893725064207,Zambia,1364.03,2022.0
207,Zimbabwe,19,12,15842.63,25999.97,0.6093326261530301,Zimbabwe,1317.89,2022.0
